trial,byte_idx,bit_idx,original_outcome,defended_outcome
582,644,1,silent_wrong_output,integrity_check_abort
583,642,2,silent_wrong_output,integrity_check_abort
585,178,7,silent_wrong_output,integrity_check_abort
586,697,4,silent_wrong_output,integrity_check_abort
587,6,0,silent_wrong_output,integrity_check_abort
591,555,2,silent_wrong_output,integrity_check_abort
592,402,0,silent_wrong_output,integrity_check_abort
594,379,3,silent_wrong_output,integrity_check_abort
600,419,0,silent_wrong_output,integrity_check_abort
602,730,7,silent_wrong_output,integrity_check_abort
603,360,3,silent_wrong_output,integrity_check_abort
604,304,0,silent_wrong_output,integrity_check_abort
605,740,6,silent_wrong_output,integrity_check_abort
610,722,3,silent_wrong_output,integrity_check_abort
612,373,2,silent_wrong_output,integrity_check_abort
614,84,0,silent_wrong_output,integrity_check_abort
616,716,6,silent_wrong_output,integrity_check_abort
617,75,1,silent_wrong_output,integrity_check_abort
619,432,3,silent_wrong_output,integrity_check_abort
622,225,0,silent_wrong_output,integrity_check_abort
623,561,7,silent_wrong_output,integrity_check_abort
624,589,0,silent_wrong_output,integrity_check_abort
625,362,4,silent_wrong_output,integrity_check_abort
626,167,7,silent_wrong_output,integrity_check_abort
627,27,4,silent_wrong_output,integrity_check_abort
632,350,4,silent_wrong_output,integrity_check_abort
633,298,6,silent_wrong_output,integrity_check_abort
636,474,0,silent_wrong_output,integrity_check_abort
637,152,1,silent_wrong_output,integrity_check_abort
638,322,5,silent_wrong_output,integrity_check_abort
641,376,7,silent_wrong_output,integrity_check_abort
643,644,0,silent_wrong_output,integrity_check_abort
646,743,2,silent_wrong_output,integrity_check_abort
651,163,6,silent_wrong_output,integrity_check_abort
653,562,4,silent_wrong_output,integrity_check_abort
654,741,7,silent_wrong_output,integrity_check_abort
655,455,0,silent_wrong_output,integrity_check_abort
656,505,6,silent_wrong_output,integrity_check_abort
658,514,0,silent_wrong_output,integrity_check_abort
659,364,0,silent_wrong_output,integrity_check_abort
660,333,6,silent_wrong_output,integrity_check_abort
661,344,4,silent_wrong_output,integrity_check_abort
662,316,0,silent_wrong_output,integrity_check_abort
663,35,0,silent_wrong_output,integrity_check_abort
665,27,2,silent_wrong_output,integrity_check_abort
667,520,6,silent_wrong_output,integrity_check_abort
668,586,5,silent_wrong_output,integrity_check_abort
669,71,0,silent_wrong_output,integrity_check_abort
670,668,3,silent_wrong_output,integrity_check_abort
671,463,7,silent_wrong_output,integrity_check_abort
674,555,5,silent_wrong_output,integrity_check_abort
675,469,7,silent_wrong_output,integrity_check_abort
676,30,3,silent_wrong_output,integrity_check_abort
677,630,5,silent_wrong_output,integrity_check_abort
679,259,1,silent_wrong_output,integrity_check_abort
680,194,1,silent_wrong_output,integrity_check_abort
682,758,5,silent_wrong_output,integrity_check_abort
687,418,6,silent_wrong_output,integrity_check_abort
688,53,3,silent_wrong_output,integrity_check_abort
689,394,6,silent_wrong_output,integrity_check_abort
692,603,1,silent_wrong_output,integrity_check_abort
695,106,2,silent_wrong_output,integrity_check_abort
697,748,2,silent_wrong_output,integrity_check_abort
700,522,2,silent_wrong_output,integrity_check_abort
702,625,1,silent_wrong_output,integrity_check_abort
703,674,6,silent_wrong_output,integrity_check_abort
704,279,6,silent_wrong_output,integrity_check_abort
705,658,0,silent_wrong_output,integrity_check_abort
706,166,3,silent_wrong_output,integrity_check_abort
708,312,7,silent_wrong_output,integrity_check_abort
710,494,0,silent_wrong_output,integrity_check_abort
712,463,1,silent_wrong_output,integrity_check_abort
713,485,3,silent_wrong_output,integrity_check_abort
715,734,1,silent_wrong_output,integrity_check_abort
720,622,0,silent_wrong_output,integrity_check_abort
721,487,1,silent_wrong_output,integrity_check_abort
723,749,3,silent_wrong_output,integrity_check_abort
724,678,6,silent_wrong_output,integrity_check_abort
726,373,3,silent_wrong_output,integrity_check_abort
727,220,6,silent_wrong_output,integrity_check_abort
730,345,5,silent_wrong_output,integrity_check_abort
731,253,7,silent_wrong_output,integrity_check_abort
733,321,6,silent_wrong_output,integrity_check_abort
735,712,6,silent_wrong_output,integrity_check_abort
737,309,1,silent_wrong_output,integrity_check_abort
740,263,5,silent_wrong_output,integrity_check_abort
741,565,3,silent_wrong_output,integrity_check_abort
743,114,0,silent_wrong_output,integrity_check_abort
745,237,6,silent_wrong_output,integrity_check_abort
751,248,3,silent_wrong_output,integrity_check_abort
753,78,1,silent_wrong_output,integrity_check_abort
756,714,2,silent_wrong_output,integrity_check_abort
759,450,2,silent_wrong_output,integrity_check_abort
762,632,3,silent_wrong_output,integrity_check_abort
766,117,5,silent_wrong_output,integrity_check_abort
772,94,5,silent_wrong_output,integrity_check_abort
773,638,7,silent_wrong_output,integrity_check_abort
774,194,4,silent_wrong_output,integrity_check_abort
775,388,4,silent_wrong_output,integrity_check_abort
776,764,4,silent_wrong_output,integrity_check_abort
778,438,0,silent_wrong_output,integrity_check_abort
779,141,0,silent_wrong_output,integrity_check_abort
780,747,4,silent_wrong_output,integrity_check_abort
781,473,1,silent_wrong_output,integrity_check_abort
782,514,1,silent_wrong_output,integrity_check_abort
783,192,4,silent_wrong_output,integrity_check_abort
784,161,3,silent_wrong_output,integrity_check_abort
785,563,6,silent_wrong_output,integrity_check_abort
787,278,3,silent_wrong_output,integrity_check_abort
788,714,6,silent_wrong_output,integrity_check_abort
789,79,1,silent_wrong_output,integrity_check_abort
794,339,6,silent_wrong_output,integrity_check_abort
796,527,1,silent_wrong_output,integrity_check_abort
797,271,3,silent_wrong_output,integrity_check_abort
798,169,4,silent_wrong_output,integrity_check_abort
799,700,5,silent_wrong_output,integrity_check_abort
800,435,0,silent_wrong_output,integrity_check_abort
801,72,2,silent_wrong_output,integrity_check_abort
805,132,0,silent_wrong_output,integrity_check_abort
806,596,1,silent_wrong_output,integrity_check_abort
808,347,2,silent_wrong_output,integrity_check_abort
810,19,2,silent_wrong_output,integrity_check_abort
813,762,4,silent_wrong_output,integrity_check_abort
817,429,6,silent_wrong_output,integrity_check_abort
818,181,1,silent_wrong_output,integrity_check_abort
819,707,5,silent_wrong_output,integrity_check_abort
825,126,0,silent_wrong_output,integrity_check_abort
826,573,5,silent_wrong_output,integrity_check_abort
828,271,1,silent_wrong_output,integrity_check_abort
830,500,0,silent_wrong_output,integrity_check_abort
834,575,6,silent_wrong_output,integrity_check_abort
836,329,4,silent_wrong_output,integrity_check_abort
839,623,0,silent_wrong_output,integrity_check_abort
841,632,1,silent_wrong_output,integrity_check_abort
847,626,6,silent_wrong_output,integrity_check_abort
850,462,2,silent_wrong_output,integrity_check_abort
856,593,0,silent_wrong_output,integrity_check_abort
857,748,6,silent_wrong_output,integrity_check_abort
859,239,6,silent_wrong_output,integrity_check_abort
864,686,3,silent_wrong_output,integrity_check_abort
866,343,2,silent_wrong_output,integrity_check_abort
868,124,3,silent_wrong_output,integrity_check_abort
870,288,0,silent_wrong_output,integrity_check_abort
871,284,6,silent_wrong_output,integrity_check_abort
875,691,7,silent_wrong_output,integrity_check_abort
876,742,1,silent_wrong_output,integrity_check_abort
877,130,4,silent_wrong_output,integrity_check_abort
880,767,2,silent_wrong_output,integrity_check_abort
881,721,6,silent_wrong_output,integrity_check_abort
888,622,0,silent_wrong_output,integrity_check_abort
889,342,6,silent_wrong_output,integrity_check_abort
890,25,6,silent_wrong_output,integrity_check_abort
892,412,6,silent_wrong_output,integrity_check_abort
894,395,3,silent_wrong_output,integrity_check_abort
900,387,0,silent_wrong_output,integrity_check_abort
902,632,7,silent_wrong_output,integrity_check_abort
903,654,5,silent_wrong_output,integrity_check_abort
904,243,5,silent_wrong_output,integrity_check_abort
910,315,5,silent_wrong_output,integrity_check_abort
911,183,1,silent_wrong_output,integrity_check_abort
913,268,1,silent_wrong_output,integrity_check_abort
915,468,1,silent_wrong_output,integrity_check_abort
916,504,4,silent_wrong_output,integrity_check_abort
917,649,4,silent_wrong_output,integrity_check_abort
918,647,0,silent_wrong_output,integrity_check_abort
920,676,2,silent_wrong_output,integrity_check_abort
921,454,2,silent_wrong_output,integrity_check_abort
922,63,0,silent_wrong_output,integrity_check_abort
926,211,4,silent_wrong_output,integrity_check_abort
928,5,2,silent_wrong_output,integrity_check_abort
929,418,4,silent_wrong_output,integrity_check_abort
930,362,6,silent_wrong_output,integrity_check_abort
931,718,3,silent_wrong_output,integrity_check_abort
933,547,3,silent_wrong_output,integrity_check_abort
934,521,7,silent_wrong_output,integrity_check_abort
935,698,2,silent_wrong_output,integrity_check_abort
936,25,5,silent_wrong_output,integrity_check_abort
937,72,3,silent_wrong_output,integrity_check_abort
942,600,4,silent_wrong_output,integrity_check_abort
944,394,4,silent_wrong_output,integrity_check_abort
946,265,7,silent_wrong_output,integrity_check_abort
947,658,5,silent_wrong_output,integrity_check_abort
950,390,0,silent_wrong_output,integrity_check_abort
952,255,2,silent_wrong_output,integrity_check_abort
953,741,2,silent_wrong_output,integrity_check_abort
955,331,3,silent_wrong_output,integrity_check_abort
956,236,7,silent_wrong_output,integrity_check_abort
957,520,3,silent_wrong_output,integrity_check_abort
960,667,7,silent_wrong_output,integrity_check_abort
961,662,0,silent_wrong_output,integrity_check_abort
962,460,2,silent_wrong_output,integrity_check_abort
963,685,7,silent_wrong_output,integrity_check_abort
964,449,3,silent_wrong_output,integrity_check_abort
965,251,1,silent_wrong_output,integrity_check_abort
966,638,5,silent_wrong_output,integrity_check_abort
971,281,5,silent_wrong_output,integrity_check_abort
973,497,0,silent_wrong_output,integrity_check_abort
975,241,5,silent_wrong_output,integrity_check_abort
979,368,3,silent_wrong_output,integrity_check_abort
984,552,4,silent_wrong_output,integrity_check_abort
985,457,0,silent_wrong_output,integrity_check_abort
986,682,1,silent_wrong_output,integrity_check_abort
990,758,3,silent_wrong_output,integrity_check_abort
993,435,2,silent_wrong_output,integrity_check_abort
994,132,1,silent_wrong_output,integrity_check_abort
995,456,4,silent_wrong_output,integrity_check_abort
996,218,3,silent_wrong_output,integrity_check_abort
1002,596,2,silent_wrong_output,integrity_check_abort
1003,447,2,silent_wrong_output,integrity_check_abort
1004,91,1,silent_wrong_output,integrity_check_abort
1005,735,7,silent_wrong_output,integrity_check_abort
1006,149,4,silent_wrong_output,integrity_check_abort
1007,551,6,silent_wrong_output,integrity_check_abort
1008,371,6,silent_wrong_output,integrity_check_abort
1009,466,2,silent_wrong_output,integrity_check_abort
1010,515,4,silent_wrong_output,integrity_check_abort
1011,61,4,silent_wrong_output,integrity_check_abort
1012,103,6,silent_wrong_output,integrity_check_abort
1014,351,4,silent_wrong_output,integrity_check_abort
1015,247,4,silent_wrong_output,integrity_check_abort
1016,680,3,silent_wrong_output,integrity_check_abort
1019,62,3,silent_wrong_output,integrity_check_abort
1021,366,0,silent_wrong_output,integrity_check_abort
1022,276,7,silent_wrong_output,integrity_check_abort
1023,512,7,silent_wrong_output,integrity_check_abort
1024,674,2,silent_wrong_output,integrity_check_abort
1026,462,4,silent_wrong_output,integrity_check_abort
1027,28,4,silent_wrong_output,integrity_check_abort
1030,547,0,silent_wrong_output,integrity_check_abort
1035,629,3,silent_wrong_output,integrity_check_abort
1036,2,6,silent_wrong_output,integrity_check_abort
1037,737,2,silent_wrong_output,integrity_check_abort
1038,296,0,silent_wrong_output,integrity_check_abort
1042,5,2,silent_wrong_output,integrity_check_abort
1043,220,0,silent_wrong_output,integrity_check_abort
1044,613,6,silent_wrong_output,integrity_check_abort
1046,371,6,silent_wrong_output,integrity_check_abort
1049,621,4,silent_wrong_output,integrity_check_abort
1052,200,3,silent_wrong_output,integrity_check_abort
1054,462,6,silent_wrong_output,integrity_check_abort
1057,233,3,silent_wrong_output,integrity_check_abort
1058,316,1,silent_wrong_output,integrity_check_abort
1059,435,2,silent_wrong_output,integrity_check_abort
1064,314,3,silent_wrong_output,integrity_check_abort
1066,576,5,silent_wrong_output,integrity_check_abort
1070,547,7,silent_wrong_output,integrity_check_abort
1071,122,6,silent_wrong_output,integrity_check_abort
1073,727,7,silent_wrong_output,integrity_check_abort
1076,714,1,silent_wrong_output,integrity_check_abort
1081,762,7,silent_wrong_output,integrity_check_abort
1083,160,6,silent_wrong_output,integrity_check_abort
1089,676,6,silent_wrong_output,integrity_check_abort
1091,305,1,silent_wrong_output,integrity_check_abort
1092,545,3,silent_wrong_output,integrity_check_abort
1095,334,2,silent_wrong_output,integrity_check_abort
1097,499,4,silent_wrong_output,integrity_check_abort
1099,622,4,silent_wrong_output,integrity_check_abort
1100,720,1,silent_wrong_output,integrity_check_abort
1103,99,5,silent_wrong_output,integrity_check_abort
1104,3,0,silent_wrong_output,integrity_check_abort
1108,1,4,silent_wrong_output,integrity_check_abort
1109,636,1,silent_wrong_output,integrity_check_abort
1114,693,6,silent_wrong_output,integrity_check_abort
1115,313,5,silent_wrong_output,integrity_check_abort
1118,760,6,silent_wrong_output,integrity_check_abort
1120,315,4,silent_wrong_output,integrity_check_abort
1121,259,5,silent_wrong_output,integrity_check_abort
1123,350,2,silent_wrong_output,integrity_check_abort
1124,52,3,silent_wrong_output,integrity_check_abort
1126,571,6,silent_wrong_output,integrity_check_abort
1130,499,3,silent_wrong_output,integrity_check_abort
1132,745,0,silent_wrong_output,integrity_check_abort
1133,92,7,silent_wrong_output,integrity_check_abort
1137,740,6,silent_wrong_output,integrity_check_abort
1140,177,2,silent_wrong_output,integrity_check_abort
1141,608,3,silent_wrong_output,integrity_check_abort
1142,50,1,silent_wrong_output,integrity_check_abort
1145,79,1,silent_wrong_output,integrity_check_abort
1146,88,7,silent_wrong_output,integrity_check_abort
1150,743,4,silent_wrong_output,integrity_check_abort
1152,198,1,silent_wrong_output,integrity_check_abort
1153,352,6,silent_wrong_output,integrity_check_abort
1154,500,0,silent_wrong_output,integrity_check_abort
1155,648,6,silent_wrong_output,integrity_check_abort
1158,716,4,silent_wrong_output,integrity_check_abort
1160,421,4,silent_wrong_output,integrity_check_abort
1162,748,0,silent_wrong_output,integrity_check_abort
1163,16,7,silent_wrong_output,integrity_check_abort
1168,607,4,silent_wrong_output,integrity_check_abort
1169,51,7,silent_wrong_output,integrity_check_abort
1170,53,4,silent_wrong_output,integrity_check_abort
1177,65,4,silent_wrong_output,integrity_check_abort
1178,382,1,silent_wrong_output,integrity_check_abort
1179,45,3,silent_wrong_output,integrity_check_abort
1181,159,6,silent_wrong_output,integrity_check_abort
1183,423,0,silent_wrong_output,integrity_check_abort
1188,615,5,silent_wrong_output,integrity_check_abort
1191,746,5,silent_wrong_output,integrity_check_abort
1193,225,3,silent_wrong_output,integrity_check_abort
1196,567,0,silent_wrong_output,integrity_check_abort
1198,53,5,silent_wrong_output,integrity_check_abort
1201,9,1,silent_wrong_output,integrity_check_abort
1202,480,2,silent_wrong_output,integrity_check_abort
1203,176,4,silent_wrong_output,integrity_check_abort
1206,32,7,silent_wrong_output,integrity_check_abort
1207,264,3,silent_wrong_output,integrity_check_abort
1209,38,1,silent_wrong_output,integrity_check_abort
1210,214,2,silent_wrong_output,integrity_check_abort
1211,373,7,silent_wrong_output,integrity_check_abort
1212,423,6,silent_wrong_output,integrity_check_abort
1215,97,3,silent_wrong_output,integrity_check_abort
1216,398,6,silent_wrong_output,integrity_check_abort
1222,415,4,silent_wrong_output,integrity_check_abort
1223,654,7,silent_wrong_output,integrity_check_abort
1224,37,7,silent_wrong_output,integrity_check_abort
1226,54,5,silent_wrong_output,integrity_check_abort
1227,522,4,silent_wrong_output,integrity_check_abort
1228,410,0,silent_wrong_output,integrity_check_abort
1229,380,6,silent_wrong_output,integrity_check_abort
1230,424,4,silent_wrong_output,integrity_check_abort
1235,122,1,silent_wrong_output,integrity_check_abort
1240,172,7,silent_wrong_output,integrity_check_abort
1242,450,1,silent_wrong_output,integrity_check_abort
1243,484,4,silent_wrong_output,integrity_check_abort
1247,440,1,silent_wrong_output,integrity_check_abort
1248,665,4,silent_wrong_output,integrity_check_abort
1249,549,2,silent_wrong_output,integrity_check_abort
1251,753,5,silent_wrong_output,integrity_check_abort
1252,720,2,silent_wrong_output,integrity_check_abort
1254,630,3,silent_wrong_output,integrity_check_abort
1255,499,3,silent_wrong_output,integrity_check_abort
