byte_idx,poly_idx,n_coeffs_touched,coeff_indices
166,0,2,"[110, 111]"
167,0,1,[111]
168,0,1,[112]
169,0,2,"[112, 113]"
170,0,1,[113]
171,0,1,[114]
172,0,2,"[114, 115]"
173,0,1,[115]
174,0,1,[116]
175,0,2,"[116, 117]"
176,0,1,[117]
177,0,1,[118]
178,0,2,"[118, 119]"
179,0,1,[119]
180,0,1,[120]
181,0,2,"[120, 121]"
182,0,1,[121]
183,0,1,[122]
184,0,2,"[122, 123]"
185,0,1,[123]
186,0,1,[124]
187,0,2,"[124, 125]"
188,0,1,[125]
189,0,1,[126]
190,0,2,"[126, 127]"
191,0,1,[127]
192,0,1,[128]
193,0,2,"[128, 129]"
194,0,1,[129]
195,0,1,[130]
196,0,2,"[130, 131]"
197,0,1,[131]
198,0,1,[132]
199,0,2,"[132, 133]"
200,0,1,[133]
201,0,1,[134]
202,0,2,"[134, 135]"
203,0,1,[135]
204,0,1,[136]
205,0,2,"[136, 137]"
206,0,1,[137]
207,0,1,[138]
208,0,2,"[138, 139]"
209,0,1,[139]
210,0,1,[140]
211,0,2,"[140, 141]"
212,0,1,[141]
213,0,1,[142]
214,0,2,"[142, 143]"
215,0,1,[143]
216,0,1,[144]
217,0,2,"[144, 145]"
218,0,1,[145]
219,0,1,[146]
220,0,2,"[146, 147]"
221,0,1,[147]
222,0,1,[148]
223,0,2,"[148, 149]"
224,0,1,[149]
225,0,1,[150]
226,0,2,"[150, 151]"
227,0,1,[151]
228,0,1,[152]
229,0,2,"[152, 153]"
230,0,1,[153]
231,0,1,[154]
232,0,2,"[154, 155]"
233,0,1,[155]
234,0,1,[156]
235,0,2,"[156, 157]"
236,0,1,[157]
237,0,1,[158]
238,0,2,"[158, 159]"
239,0,1,[159]
240,0,1,[160]
241,0,2,"[160, 161]"
242,0,1,[161]
243,0,1,[162]
244,0,2,"[162, 163]"
245,0,1,[163]
246,0,1,[164]
247,0,2,"[164, 165]"
248,0,1,[165]
249,0,1,[166]
250,0,2,"[166, 167]"
251,0,1,[167]
252,0,1,[168]
253,0,2,"[168, 169]"
254,0,1,[169]
255,0,1,[170]
256,0,2,"[170, 171]"
257,0,1,[171]
258,0,1,[172]
259,0,2,"[172, 173]"
260,0,1,[173]
261,0,1,[174]
262,0,2,"[174, 175]"
263,0,1,[175]
264,0,1,[176]
265,0,2,"[176, 177]"
266,0,1,[177]
267,0,1,[178]
268,0,2,"[178, 179]"
269,0,1,[179]
270,0,1,[180]
271,0,2,"[180, 181]"
272,0,1,[181]
273,0,1,[182]
274,0,2,"[182, 183]"
275,0,1,[183]
276,0,1,[184]
277,0,2,"[184, 185]"
278,0,1,[185]
279,0,1,[186]
280,0,2,"[186, 187]"
281,0,1,[187]
282,0,1,[188]
283,0,2,"[188, 189]"
284,0,1,[189]
285,0,1,[190]
286,0,2,"[190, 191]"
287,0,1,[191]
288,0,1,[192]
289,0,2,"[192, 193]"
290,0,1,[193]
291,0,1,[194]
292,0,2,"[194, 195]"
293,0,1,[195]
294,0,1,[196]
295,0,2,"[196, 197]"
296,0,1,[197]
297,0,1,[198]
298,0,2,"[198, 199]"
299,0,1,[199]
300,0,1,[200]
301,0,2,"[200, 201]"
302,0,1,[201]
303,0,1,[202]
304,0,2,"[202, 203]"
305,0,1,[203]
306,0,1,[204]
307,0,2,"[204, 205]"
308,0,1,[205]
309,0,1,[206]
310,0,2,"[206, 207]"
311,0,1,[207]
312,0,1,[208]
313,0,2,"[208, 209]"
314,0,1,[209]
315,0,1,[210]
316,0,2,"[210, 211]"
317,0,1,[211]
318,0,1,[212]
319,0,2,"[212, 213]"
320,0,1,[213]
321,0,1,[214]
322,0,2,"[214, 215]"
323,0,1,[215]
324,0,1,[216]
325,0,2,"[216, 217]"
326,0,1,[217]
327,0,1,[218]
328,0,2,"[218, 219]"
329,0,1,[219]
330,0,1,[220]
331,0,2,"[220, 221]"
332,0,1,[221]
333,0,1,[222]
334,0,2,"[222, 223]"
335,0,1,[223]
336,0,1,[224]
337,0,2,"[224, 225]"
338,0,1,[225]
339,0,1,[226]
340,0,2,"[226, 227]"
341,0,1,[227]
342,0,1,[228]
343,0,2,"[228, 229]"
344,0,1,[229]
345,0,1,[230]
346,0,2,"[230, 231]"
347,0,1,[231]
348,0,1,[232]
349,0,2,"[232, 233]"
350,0,1,[233]
351,0,1,[234]
352,0,2,"[234, 235]"
353,0,1,[235]
354,0,1,[236]
355,0,2,"[236, 237]"
356,0,1,[237]
357,0,1,[238]
358,0,2,"[238, 239]"
359,0,1,[239]
360,0,1,[240]
361,0,2,"[240, 241]"
362,0,1,[241]
363,0,1,[242]
364,0,2,"[242, 243]"
365,0,1,[243]
366,0,1,[244]
367,0,2,"[244, 245]"
368,0,1,[245]
369,0,1,[246]
370,0,2,"[246, 247]"
371,0,1,[247]
372,0,1,[248]
373,0,2,"[248, 249]"
374,0,1,[249]
375,0,1,[250]
376,0,2,"[250, 251]"
377,0,1,[251]
378,0,1,[252]
379,0,2,"[252, 253]"
380,0,1,[253]
381,0,1,[254]
382,0,2,"[254, 255]"
383,0,1,[255]
384,1,1,[256]
385,1,2,"[256, 257]"
386,1,1,[257]
387,1,1,[258]
388,1,2,"[258, 259]"
389,1,1,[259]
390,1,1,[260]
391,1,2,"[260, 261]"
392,1,1,[261]
393,1,1,[262]
394,1,2,"[262, 263]"
395,1,1,[263]
396,1,1,[264]
397,1,2,"[264, 265]"
398,1,1,[265]
399,1,1,[266]
400,1,2,"[266, 267]"
401,1,1,[267]
402,1,1,[268]
403,1,2,"[268, 269]"
404,1,1,[269]
405,1,1,[270]
406,1,2,"[270, 271]"
407,1,1,[271]
408,1,1,[272]
409,1,2,"[272, 273]"
410,1,1,[273]
411,1,1,[274]
412,1,2,"[274, 275]"
413,1,1,[275]
414,1,1,[276]
415,1,2,"[276, 277]"
416,1,1,[277]
417,1,1,[278]
418,1,2,"[278, 279]"
419,1,1,[279]
420,1,1,[280]
421,1,2,"[280, 281]"
422,1,1,[281]
423,1,1,[282]
424,1,2,"[282, 283]"
425,1,1,[283]
426,1,1,[284]
427,1,2,"[284, 285]"
428,1,1,[285]
429,1,1,[286]
430,1,2,"[286, 287]"
431,1,1,[287]
432,1,1,[288]
433,1,2,"[288, 289]"
434,1,1,[289]
435,1,1,[290]
436,1,2,"[290, 291]"
437,1,1,[291]
438,1,1,[292]
439,1,2,"[292, 293]"
440,1,1,[293]
441,1,1,[294]
442,1,2,"[294, 295]"
443,1,1,[295]
444,1,1,[296]
445,1,2,"[296, 297]"
446,1,1,[297]
447,1,1,[298]
448,1,2,"[298, 299]"
449,1,1,[299]
450,1,1,[300]
451,1,2,"[300, 301]"
452,1,1,[301]
453,1,1,[302]
454,1,2,"[302, 303]"
455,1,1,[303]
456,1,1,[304]
457,1,2,"[304, 305]"
458,1,1,[305]
459,1,1,[306]
460,1,2,"[306, 307]"
461,1,1,[307]
462,1,1,[308]
463,1,2,"[308, 309]"
464,1,1,[309]
465,1,1,[310]
466,1,2,"[310, 311]"
467,1,1,[311]
468,1,1,[312]
469,1,2,"[312, 313]"
470,1,1,[313]
471,1,1,[314]
472,1,2,"[314, 315]"
473,1,1,[315]
474,1,1,[316]
475,1,2,"[316, 317]"
476,1,1,[317]
477,1,1,[318]
478,1,2,"[318, 319]"
479,1,1,[319]
480,1,1,[320]
481,1,2,"[320, 321]"
482,1,1,[321]
483,1,1,[322]
484,1,2,"[322, 323]"
485,1,1,[323]
486,1,1,[324]
487,1,2,"[324, 325]"
488,1,1,[325]
489,1,1,[326]
490,1,2,"[326, 327]"
491,1,1,[327]
492,1,1,[328]
493,1,2,"[328, 329]"
494,1,1,[329]
495,1,1,[330]
496,1,2,"[330, 331]"
497,1,1,[331]
498,1,1,[332]
499,1,2,"[332, 333]"
500,1,1,[333]
501,1,1,[334]
502,1,2,"[334, 335]"
503,1,1,[335]
504,1,1,[336]
505,1,2,"[336, 337]"
506,1,1,[337]
507,1,1,[338]
508,1,2,"[338, 339]"
509,1,1,[339]
510,1,1,[340]
511,1,2,"[340, 341]"
512,1,1,[341]
513,1,1,[342]
514,1,2,"[342, 343]"
515,1,1,[343]
516,1,1,[344]
517,1,2,"[344, 345]"
518,1,1,[345]
519,1,1,[346]
520,1,2,"[346, 347]"
521,1,1,[347]
522,1,1,[348]
523,1,2,"[348, 349]"
524,1,1,[349]
525,1,1,[350]
526,1,2,"[350, 351]"
527,1,1,[351]
528,1,1,[352]
529,1,2,"[352, 353]"
530,1,1,[353]
531,1,1,[354]
532,1,2,"[354, 355]"
533,1,1,[355]
534,1,1,[356]
535,1,2,"[356, 357]"
536,1,1,[357]
537,1,1,[358]
538,1,2,"[358, 359]"
539,1,1,[359]
540,1,1,[360]
541,1,2,"[360, 361]"
542,1,1,[361]
543,1,1,[362]
544,1,2,"[362, 363]"
545,1,1,[363]
546,1,1,[364]
547,1,2,"[364, 365]"
548,1,1,[365]
549,1,1,[366]
550,1,2,"[366, 367]"
551,1,1,[367]
552,1,1,[368]
553,1,2,"[368, 369]"
554,1,1,[369]
555,1,1,[370]
556,1,2,"[370, 371]"
557,1,1,[371]
558,1,1,[372]
559,1,2,"[372, 373]"
560,1,1,[373]
561,1,1,[374]
562,1,2,"[374, 375]"
563,1,1,[375]
564,1,1,[376]
565,1,2,"[376, 377]"
566,1,1,[377]
567,1,1,[378]
568,1,2,"[378, 379]"
569,1,1,[379]
570,1,1,[380]
571,1,2,"[380, 381]"
572,1,1,[381]
573,1,1,[382]
574,1,2,"[382, 383]"
575,1,1,[383]
576,1,1,[384]
577,1,2,"[384, 385]"
578,1,1,[385]
579,1,1,[386]
580,1,2,"[386, 387]"
581,1,1,[387]
582,1,1,[388]
583,1,2,"[388, 389]"
584,1,1,[389]
585,1,1,[390]
586,1,2,"[390, 391]"
587,1,1,[391]
588,1,1,[392]
589,1,2,"[392, 393]"
590,1,1,[393]
591,1,1,[394]
592,1,2,"[394, 395]"
593,1,1,[395]
594,1,1,[396]
595,1,2,"[396, 397]"
596,1,1,[397]
597,1,1,[398]
598,1,2,"[398, 399]"
599,1,1,[399]
600,1,1,[400]
601,1,2,"[400, 401]"
602,1,1,[401]
603,1,1,[402]
604,1,2,"[402, 403]"
605,1,1,[403]
606,1,1,[404]
607,1,2,"[404, 405]"
608,1,1,[405]
609,1,1,[406]
610,1,2,"[406, 407]"
611,1,1,[407]
612,1,1,[408]
613,1,2,"[408, 409]"
614,1,1,[409]
615,1,1,[410]
616,1,2,"[410, 411]"
617,1,1,[411]
618,1,1,[412]
619,1,2,"[412, 413]"
620,1,1,[413]
621,1,1,[414]
622,1,2,"[414, 415]"
623,1,1,[415]
624,1,1,[416]
625,1,2,"[416, 417]"
626,1,1,[417]
627,1,1,[418]
628,1,2,"[418, 419]"
629,1,1,[419]
630,1,1,[420]
631,1,2,"[420, 421]"
632,1,1,[421]
633,1,1,[422]
634,1,2,"[422, 423]"
635,1,1,[423]
636,1,1,[424]
637,1,2,"[424, 425]"
638,1,1,[425]
639,1,1,[426]
640,1,2,"[426, 427]"
641,1,1,[427]
642,1,1,[428]
643,1,2,"[428, 429]"
644,1,1,[429]
645,1,1,[430]
646,1,2,"[430, 431]"
647,1,1,[431]
648,1,1,[432]
649,1,2,"[432, 433]"
650,1,1,[433]
651,1,1,[434]
652,1,2,"[434, 435]"
653,1,1,[435]
654,1,1,[436]
655,1,2,"[436, 437]"
656,1,1,[437]
657,1,1,[438]
658,1,2,"[438, 439]"
659,1,1,[439]
660,1,1,[440]
661,1,2,"[440, 441]"
662,1,1,[441]
663,1,1,[442]
664,1,2,"[442, 443]"
665,1,1,[443]
666,1,1,[444]
667,1,2,"[444, 445]"
668,1,1,[445]
669,1,1,[446]
670,1,2,"[446, 447]"
671,1,1,[447]
672,1,1,[448]
673,1,2,"[448, 449]"
674,1,1,[449]
675,1,1,[450]
676,1,2,"[450, 451]"
677,1,1,[451]
678,1,1,[452]
679,1,2,"[452, 453]"
680,1,1,[453]
681,1,1,[454]
682,1,2,"[454, 455]"
683,1,1,[455]
684,1,1,[456]
685,1,2,"[456, 457]"
686,1,1,[457]
687,1,1,[458]
688,1,2,"[458, 459]"
689,1,1,[459]
690,1,1,[460]
691,1,2,"[460, 461]"
692,1,1,[461]
693,1,1,[462]
694,1,2,"[462, 463]"
695,1,1,[463]
696,1,1,[464]
697,1,2,"[464, 465]"
698,1,1,[465]
699,1,1,[466]
700,1,2,"[466, 467]"
701,1,1,[467]
702,1,1,[468]
703,1,2,"[468, 469]"
704,1,1,[469]
705,1,1,[470]
706,1,2,"[470, 471]"
707,1,1,[471]
708,1,1,[472]
709,1,2,"[472, 473]"
710,1,1,[473]
711,1,1,[474]
712,1,2,"[474, 475]"
713,1,1,[475]
714,1,1,[476]
715,1,2,"[476, 477]"
716,1,1,[477]
717,1,1,[478]
718,1,2,"[478, 479]"
719,1,1,[479]
720,1,1,[480]
721,1,2,"[480, 481]"
722,1,1,[481]
723,1,1,[482]
724,1,2,"[482, 483]"
725,1,1,[483]
726,1,1,[484]
727,1,2,"[484, 485]"
728,1,1,[485]
729,1,1,[486]
730,1,2,"[486, 487]"
731,1,1,[487]
732,1,1,[488]
733,1,2,"[488, 489]"
734,1,1,[489]
735,1,1,[490]
736,1,2,"[490, 491]"
737,1,1,[491]
738,1,1,[492]
739,1,2,"[492, 493]"
740,1,1,[493]
741,1,1,[494]
742,1,2,"[494, 495]"
743,1,1,[495]
744,1,1,[496]
745,1,2,"[496, 497]"
746,1,1,[497]
747,1,1,[498]
748,1,2,"[498, 499]"
749,1,1,[499]
750,1,1,[500]
751,1,2,"[500, 501]"
752,1,1,[501]
753,1,1,[502]
754,1,2,"[502, 503]"
755,1,1,[503]
756,1,1,[504]
757,1,2,"[504, 505]"
758,1,1,[505]
759,1,1,[506]
760,1,2,"[506, 507]"
761,1,1,[507]
762,1,1,[508]
763,1,2,"[508, 509]"
764,1,1,[509]
765,1,1,[510]
766,1,2,"[510, 511]"
767,1,1,[511]
