trial,aggressor_count,victim_offset,row_size_bytes,frr_pqc,frr_dnn
54,2,-1,1024,0.0,0.0078125
55,1,-1,1024,0.0,0.00390625
56,4,1,4096,0.0,0.0625
57,1,1,4096,0.0,0.015625
58,4,1,1024,0.0,0.015625
59,4,-2,2048,0.0,0.03125
60,8,-2,2048,0.0,0.0625
61,4,-2,2048,0.0,0.03125
62,2,2,1024,0.0,0.0078125
63,8,2,4096,0.0,0.125
64,2,-2,4096,0.0,0.03125
65,2,-2,4096,0.0,0.03125
66,8,2,4096,0.1881127450980392,0.125
67,2,1,1024,0.0,0.0078125
68,1,-1,2048,0.0,0.0078125
69,2,1,4096,0.0,0.03125
70,8,-2,2048,0.0,0.0625
71,1,-2,4096,0.0,0.015625
72,2,-1,2048,0.0,0.015625
73,1,2,4096,0.0,0.015625
74,4,2,4096,0.0,0.046875
75,2,-2,2048,0.0,0.015625
76,2,1,4096,0.0,0.03125
77,1,2,2048,0.0,0.0078125
78,4,2,1024,0.0,0.015625
79,4,2,2048,0.0,0.03125
80,8,-2,4096,0.0,0.125
81,2,-2,1024,0.0,0.0078125
82,1,-2,1024,0.0,0.00390625
83,8,-2,2048,0.0,0.0625
84,4,-2,2048,0.0,0.03125
85,4,-1,2048,0.0,0.03125
86,1,1,2048,0.0,0.0078125
87,2,-1,2048,0.0,0.015625
88,8,-1,1024,0.0,0.03125
89,8,-2,1024,0.0,0.02734375
90,2,-2,4096,0.0,0.03125
91,8,2,2048,0.0,0.046875
92,8,1,4096,0.0,0.125
93,2,-2,2048,0.0,0.015625
94,8,2,1024,0.0,0.03125
95,2,2,2048,0.0,0.015625
96,1,2,4096,0.003676470588235294,0.015625
97,4,-2,4096,0.0,0.046875
98,4,1,1024,0.0,0.015625
99,1,2,4096,0.0,0.015625
100,8,2,2048,0.0,0.0625
101,1,-2,1024,0.0,0.00390625
102,8,2,2048,0.0,0.0625
103,1,-1,1024,0.0,0.00390625
104,8,-1,1024,0.3388480392156863,0.03125
105,8,1,4096,0.8737745098039216,0.109375
106,8,2,4096,1.0,0.09375
107,4,-2,2048,0.0,0.03125
108,2,1,4096,0.0,0.03125
109,4,2,4096,0.0,0.0625
110,2,1,2048,0.0,0.015625
111,8,-1,1024,0.0,0.03125
112,4,-2,2048,0.0,0.03125
113,2,1,1024,0.0,0.0078125
114,4,1,4096,0.0,0.0625
115,4,1,2048,0.0,0.03125
116,1,2,4096,0.0,0.015625
117,1,1,4096,0.0,0.015625
118,1,1,2048,0.0,0.0078125
119,1,-2,4096,0.0,0.015625
120,2,1,4096,0.0,0.03125
121,4,-2,4096,0.9932598039215687,0.0625
122,4,1,1024,0.0,0.015625
123,2,-2,2048,0.0,0.015625
124,8,2,4096,0.0,0.125
125,4,-1,4096,1.0,0.0625
126,1,-1,2048,0.0,0.0078125
127,8,-2,1024,0.6274509803921569,0.03125
128,4,-2,1024,0.0,0.015625
129,4,2,2048,0.0,0.03125
130,4,-1,2048,0.0,0.03125
131,4,1,4096,0.0,0.046875
132,1,2,1024,0.0,0.00390625
133,4,1,2048,0.0,0.03125
134,8,-2,1024,0.0,0.02734375
135,2,-1,4096,0.0,0.03125
136,4,-1,1024,0.0,0.015625
137,1,-1,1024,0.0,0.00390625
138,2,-2,1024,0.0,0.0078125
139,2,1,1024,0.0,0.0078125
140,8,-1,2048,0.0,0.046875
141,1,-1,2048,0.0,0.0078125
142,2,-1,2048,0.0,0.015625
143,2,-1,4096,0.0,0.03125
144,8,-2,2048,0.35661764705882354,0.0625
145,8,-1,1024,0.0,0.03125
146,1,2,2048,0.0,0.0078125
147,1,1,4096,0.0,0.015625
148,8,1,2048,0.0,0.0625
149,1,2,1024,0.0,0.00390625
150,8,1,4096,0.0,0.125
151,2,-2,4096,0.0,0.03125
152,8,-1,1024,0.0,0.03125
153,2,-1,2048,0.0,0.015625
154,2,-1,2048,0.17463235294117646,0.015625
155,4,-2,1024,0.0,0.015625
156,1,-2,1024,0.0,0.00390625
157,4,-1,4096,0.0,0.046875
158,4,2,2048,0.0,0.03125
159,8,1,4096,0.0,0.109375
160,8,2,2048,0.0,0.0546875
161,4,-2,2048,0.0,0.03125
162,2,-1,4096,0.0,0.03125
163,2,1,1024,0.0,0.0078125
164,2,-1,2048,0.0,0.015625
165,8,-1,1024,0.0,0.03125
166,2,-1,1024,0.0,0.0078125
167,1,-2,4096,0.0,0.015625
168,2,2,1024,0.0,0.0078125
169,1,2,2048,0.0,0.0078125
170,1,-2,2048,0.0,0.0078125
171,1,-1,4096,0.0,0.015625
172,8,1,2048,0.0,0.0625
173,4,2,4096,1.0,0.0625
174,4,2,4096,0.0,0.0625
175,2,-1,4096,0.0,0.015625
176,4,1,4096,0.0,0.046875
177,1,2,1024,0.0,0.00390625
178,8,2,1024,0.0,0.03125
179,4,-1,2048,0.0,0.0234375
180,8,2,2048,0.0,0.0625
181,1,-1,4096,0.0,0.015625
182,2,-2,4096,0.0,0.03125
183,4,2,1024,0.0,0.015625
184,2,2,1024,0.0,0.0078125
185,2,-1,1024,0.0,0.0078125
186,1,-1,2048,0.0,0.0078125
187,2,-1,2048,0.0,0.015625
188,1,-2,1024,0.0,0.00390625
189,2,2,4096,0.0,0.03125
190,4,-2,1024,0.0,0.015625
191,4,1,2048,0.0,0.03125
192,4,-2,4096,0.12193627450980392,0.0625
193,2,1,1024,0.0,0.0078125
194,8,2,4096,0.0,0.109375
195,1,1,4096,0.0,0.015625
196,2,1,4096,0.0,0.015625
197,1,2,1024,0.0,0.00390625
198,2,2,2048,0.0,0.015625
199,8,2,1024,0.0,0.03125
200,2,-2,2048,0.0,0.015625
201,8,1,4096,0.0,0.125
202,2,2,4096,0.0,0.03125
203,4,-1,4096,0.0,0.046875
204,2,1,2048,0.0,0.015625
205,2,-2,4096,0.0,0.03125
206,8,2,4096,0.0,0.109375
207,8,1,4096,0.0,0.125
208,2,1,4096,0.0,0.03125
209,8,2,2048,0.0,0.0625
210,2,-2,1024,0.0,0.0078125
211,4,-1,1024,0.0,0.015625
212,8,2,4096,0.0,0.109375
213,2,-2,1024,0.0,0.0078125
214,4,2,1024,0.0,0.015625
215,2,-1,4096,0.0,0.03125
216,1,1,2048,0.0,0.0078125
217,1,1,4096,0.0,0.015625
218,2,1,1024,0.0,0.0078125
219,8,2,2048,0.0,0.0625
220,1,-1,2048,0.0,0.0078125
221,2,-2,2048,0.0,0.015625
222,4,-1,2048,0.0,0.03125
223,1,1,1024,0.0,0.00390625
224,4,2,4096,0.0,0.0625
225,2,2,1024,0.0,0.0078125
226,8,-1,2048,0.0,0.0625
227,4,2,4096,0.0,0.0625
228,4,-2,2048,0.0,0.03125
229,1,-2,1024,0.0,0.00390625
230,2,-2,1024,0.0,0.0078125
231,8,2,2048,0.71875,0.0546875
232,1,-2,2048,0.0,0.0078125
233,8,1,4096,0.0,0.109375
234,2,2,1024,0.0,0.0078125
235,4,2,2048,0.0,0.03125
236,4,2,1024,0.0,0.015625
237,2,-2,2048,0.0,0.0078125
238,2,-1,2048,0.0,0.015625
239,4,1,1024,0.0,0.015625
240,1,1,1024,0.0,0.00390625
241,4,1,1024,0.0,0.015625
242,1,1,2048,0.0,0.0078125
243,4,-1,1024,0.0,0.015625
244,4,-2,1024,0.3590686274509804,0.015625
245,1,-1,1024,0.0,0.00390625
246,8,-1,1024,0.0,0.03125
247,2,1,1024,0.0,0.0078125
248,8,2,2048,0.0,0.0546875
249,1,1,1024,0.0,0.00390625
250,1,1,1024,0.0,0.00390625
251,2,-2,1024,0.0,0.0078125
252,1,1,1024,0.0,0.00390625
253,2,-1,1024,0.0,0.0078125
254,4,-2,1024,0.0,0.015625
255,1,-2,4096,0.0,0.015625
256,4,2,4096,0.0,0.0625
257,1,2,1024,0.0,0.00390625
258,1,1,1024,0.0,0.00390625
259,4,2,2048,0.0,0.03125
260,8,-2,4096,0.0,0.125
261,1,-1,4096,0.0,0.015625
262,2,2,4096,0.0,0.03125
263,8,-2,1024,0.0,0.03125
264,8,1,2048,0.0,0.0625
265,4,-2,2048,0.0,0.03125
266,2,-1,2048,0.0,0.015625
267,2,-1,4096,0.0,0.03125
268,4,-1,1024,0.0,0.015625
269,4,2,2048,0.0,0.03125
270,2,2,1024,0.0,0.0078125
271,1,1,1024,0.0,0.00390625
272,1,1,1024,0.0,0.00390625
273,8,-2,4096,0.0,0.09375
274,2,-2,2048,0.0,0.015625
275,2,-2,4096,0.0,0.03125
276,2,2,4096,0.0,0.03125
277,8,-2,2048,0.0,0.0625
278,1,-1,4096,0.0,0.015625
279,1,2,1024,0.0,0.00390625
280,2,1,4096,0.0,0.03125
281,2,1,1024,0.0,0.0078125
282,4,-2,2048,0.0,0.03125
283,2,1,4096,0.0,0.03125
284,2,1,4096,0.0,0.03125
285,8,-1,1024,0.0,0.03125
286,1,1,4096,0.0,0.015625
287,4,2,1024,0.0,0.015625
288,4,-1,4096,0.0,0.046875
289,2,-1,2048,0.0,0.015625
290,8,-1,1024,0.0,0.03125
291,2,2,4096,0.0,0.03125
292,8,-2,4096,0.014705882352941176,0.125
293,2,2,1024,0.0,0.0078125
294,4,2,1024,0.0,0.015625
295,4,-1,1024,0.571078431372549,0.015625
296,8,1,2048,0.0,0.0625
297,2,2,2048,0.0,0.015625
298,2,2,4096,0.0,0.03125
299,1,-1,4096,0.0,0.015625
300,2,-2,1024,0.0,0.0078125
301,8,1,2048,0.0,0.0625
302,1,-2,4096,0.0,0.0
303,8,-2,4096,0.0,0.125
304,4,2,1024,0.0,0.015625
305,1,-1,1024,0.0,0.00390625
306,2,1,1024,0.0,0.0078125
307,4,-2,2048,0.0,0.03125
308,2,-2,2048,0.0,0.015625
309,1,-2,2048,0.0,0.0078125
310,4,-1,1024,0.0,0.015625
311,4,-2,2048,0.0,0.0234375
312,1,-1,1024,0.0,0.00390625
313,2,-1,2048,0.0,0.015625
314,1,1,1024,0.0,0.00390625
315,4,1,4096,0.0,0.0625
316,4,-1,2048,0.0,0.03125
317,4,-1,1024,0.0,0.015625
318,8,-2,4096,0.0,0.109375
319,8,-1,4096,0.0,0.125
320,2,2,1024,0.0,0.0078125
321,1,2,1024,0.0,0.00390625
322,4,-1,1024,0.0,0.015625
323,8,2,2048,0.0,0.0625
324,8,1,2048,0.0,0.0546875
325,1,-2,2048,0.0,0.0078125
326,1,2,2048,0.0,0.0078125
327,1,-1,2048,0.0,0.0078125
328,1,1,1024,0.0,0.00390625
329,4,1,1024,0.0,0.01171875
330,4,-1,4096,0.0,0.046875
331,2,1,4096,0.0,0.03125
332,2,1,4096,0.0,0.03125
333,8,-1,4096,0.0,0.125
334,2,-1,2048,0.0,0.015625
335,8,1,4096,0.0,0.09375
336,8,-2,4096,0.0,0.09375
337,2,-2,4096,0.0,0.03125
338,1,2,1024,0.0,0.00390625
339,8,-1,1024,0.0,0.03125
340,4,1,2048,0.0,0.03125
341,2,1,2048,0.0,0.015625
342,4,2,4096,0.9160539215686274,0.046875
343,4,1,1024,0.0,0.015625
344,8,1,4096,0.0,0.125
345,2,2,4096,0.0,0.03125
346,8,2,4096,0.0,0.078125
347,8,-2,1024,0.0,0.03125
348,1,1,1024,0.0,0.00390625
349,1,-2,1024,0.0,0.00390625
350,4,2,4096,0.0,0.0625
351,1,-2,4096,0.0,0.015625
352,2,-2,2048,0.0,0.015625
353,2,-2,1024,0.0,0.0078125
354,8,1,2048,0.0,0.046875
355,8,-2,4096,0.0,0.125
356,1,-2,2048,0.0,0.0078125
357,8,1,1024,0.0,0.03125
358,1,2,2048,0.0,0.0078125
359,4,1,2048,0.15870098039215685,0.03125
360,8,-1,2048,0.0,0.0546875
361,8,1,4096,0.0,0.125
362,1,1,1024,0.0,0.00390625
363,8,-1,2048,0.0,0.0546875
364,1,1,4096,0.0,0.015625
365,4,-2,1024,0.0,0.015625
366,2,-2,1024,0.0,0.0078125
367,2,1,1024,0.0,0.0078125
368,1,-1,2048,0.0,0.0078125
369,8,-2,1024,0.0,0.03125
370,2,-2,4096,0.0,0.03125
371,4,2,1024,0.0,0.015625
372,2,-1,4096,0.0,0.03125
373,2,-2,2048,0.0,0.015625
374,8,1,4096,0.0,0.125
375,1,1,2048,0.0,0.0078125
376,4,-1,2048,0.0,0.03125
377,4,2,1024,0.0,0.01171875
378,2,-1,2048,0.0,0.015625
379,2,1,1024,0.0,0.0078125
380,1,1,1024,0.0,0.00390625
381,8,1,4096,0.0,0.09375
382,8,-2,4096,0.0,0.109375
383,1,1,1024,0.0,0.00390625
384,1,1,2048,0.0,0.0078125
385,1,-2,1024,0.0,0.00390625
386,1,-2,1024,0.0,0.00390625
387,8,1,2048,0.0,0.0625
388,8,-2,4096,0.0,0.125
389,1,2,1024,0.0,0.00390625
390,4,-2,2048,0.0,0.0234375
391,1,2,4096,0.0,0.015625
392,2,1,2048,0.0,0.015625
393,4,-1,1024,0.0,0.015625
394,4,-1,2048,0.0,0.03125
395,8,-1,4096,0.0,0.125
396,1,1,4096,0.0,0.015625
397,1,2,2048,0.0,0.0078125
398,2,-2,1024,0.0,0.0078125
399,2,1,4096,0.0,0.03125
400,8,2,4096,0.05575980392156863,0.125
401,8,-1,2048,0.0,0.0546875
402,2,1,4096,0.0,0.03125
403,8,-2,4096,0.0,0.109375
404,2,2,1024,0.0,0.0078125
405,4,-2,2048,0.0,0.03125
406,2,-1,2048,0.0,0.015625
407,1,-1,2048,0.0,0.0078125
408,8,-1,2048,0.0,0.0546875
409,1,-2,4096,0.0,0.015625
410,1,1,1024,0.0,0.00390625
411,1,-2,2048,0.0,0.0078125
412,2,2,1024,0.0,0.0078125
413,1,-2,2048,0.0,0.0078125
414,1,-1,2048,0.0,0.0078125
415,4,2,1024,0.0,0.015625
416,8,-2,4096,0.9191176470588235,0.109375
417,1,-2,1024,0.0,0.00390625
418,2,1,1024,0.0,0.0078125
419,4,-2,2048,0.0,0.03125
420,8,2,4096,0.0,0.125
421,4,-1,1024,0.0,0.015625
422,8,2,2048,0.0,0.0625
423,4,-2,2048,0.0,0.03125
424,2,-2,4096,0.0,0.03125
425,1,2,1024,0.0,0.00390625
426,8,2,1024,0.0,0.03125
427,8,2,2048,0.0,0.0546875
428,1,-1,1024,0.0,0.00390625
429,4,-1,4096,0.0,0.0625
430,1,1,1024,0.0,0.00390625
431,4,-1,2048,0.0,0.03125
432,8,-2,1024,0.0,0.02734375
433,1,-1,4096,0.0,0.015625
434,2,1,2048,0.0,0.015625
435,1,-2,1024,0.0,0.00390625
436,4,-1,1024,0.0,0.015625
437,8,-1,1024,0.0,0.03125
438,1,-2,1024,0.0,0.00390625
439,2,-2,4096,0.0,0.03125
440,8,-1,2048,0.0,0.0625
441,2,-2,4096,0.0,0.03125
442,1,-1,1024,0.0,0.00390625
443,2,1,4096,0.0,0.03125
444,4,2,2048,0.0,0.03125
445,4,-2,2048,0.0,0.03125
446,2,-1,4096,0.0,0.03125
447,8,-2,4096,0.0,0.125
448,4,-1,4096,0.0,0.0625
449,2,-1,4096,0.0,0.03125
450,8,2,2048,0.07659313725490197,0.0625
451,8,-1,4096,0.0,0.125
452,2,2,4096,0.0,0.03125
453,1,-2,4096,0.0,0.015625
454,4,-2,2048,0.0,0.03125
455,4,-2,1024,0.0,0.015625
456,1,-1,2048,0.0,0.0078125
457,4,-2,1024,0.0,0.015625
458,8,-2,1024,0.0,0.03125
459,1,-2,2048,0.0,0.0078125
460,4,2,2048,0.0,0.03125
461,1,2,2048,0.0,0.0078125
462,4,-2,4096,0.0,0.046875
463,2,2,4096,0.0,0.03125
464,1,-2,2048,0.0,0.0078125
465,8,-1,2048,0.0,0.0546875
466,1,-1,4096,0.0,0.015625
467,4,-1,1024,0.0,0.015625
468,1,2,4096,0.0,0.015625
469,8,1,4096,0.0,0.125
470,4,1,4096,0.0,0.0625
471,8,1,1024,0.0,0.03125
472,2,1,2048,0.0,0.015625
473,2,-2,4096,0.0,0.03125
474,4,-1,1024,0.0,0.015625
475,8,-2,1024,0.0,0.03125
476,8,1,2048,0.0,0.0625
477,1,-1,2048,0.0,0.0078125
478,4,1,4096,0.0,0.0625
479,1,1,2048,0.0,0.0078125
480,2,-1,4096,0.0,0.03125
481,8,-2,1024,0.0,0.03125
482,2,2,2048,0.0,0.015625
483,8,-1,1024,0.0,0.03125
484,2,-2,1024,0.0,0.0078125
485,1,-1,1024,0.0,0.00390625
486,2,2,4096,0.0,0.03125
487,4,-1,2048,0.0,0.03125
488,8,2,1024,0.0,0.03125
489,4,-1,1024,0.0,0.015625
490,8,2,2048,0.0,0.0625
491,8,1,4096,0.0741421568627451,0.125
492,8,-2,4096,0.0,0.125
493,4,1,1024,0.0,0.015625
494,2,-1,4096,0.0,0.03125
495,2,-2,2048,0.0,0.015625
496,1,1,4096,0.0,0.015625
497,2,-2,1024,0.0,0.0078125
498,8,1,2048,1.0,0.0625
499,2,2,4096,0.0,0.015625
500,1,-2,1024,0.0,0.00390625
501,4,-1,4096,0.0,0.0625
502,8,1,1024,0.0,0.03125
503,8,-2,4096,0.0,0.125
504,2,-1,4096,0.0,0.03125
505,2,-1,4096,0.0,0.03125
506,4,-2,4096,0.0,0.0625
507,1,2,1024,0.1881127450980392,0.00390625
508,2,-1,2048,0.0,0.015625
509,1,2,4096,0.0,0.015625
510,8,1,1024,0.0,0.03125
511,4,2,1024,0.0,0.015625
512,8,2,1024,0.0,0.03125
513,8,1,4096,1.0,0.109375
514,8,-1,1024,0.0,0.03125
515,1,-1,2048,0.0,0.0078125
516,8,2,2048,0.0,0.046875
517,1,-1,2048,0.0,0.0078125
518,2,1,4096,0.0,0.03125
519,4,-2,4096,0.0,0.0625
520,2,2,2048,0.0,0.015625
521,1,1,4096,0.0,0.015625
522,1,-1,1024,0.0,0.00390625
523,8,1,4096,0.0,0.109375
524,2,-1,1024,0.0,0.0078125
525,2,-2,1024,0.0,0.0078125
526,8,2,1024,0.0,0.03125
527,1,2,1024,0.0,0.00390625
528,8,2,4096,0.6495098039215687,0.125
529,8,-1,1024,0.0,0.03125
530,4,-1,4096,0.0,0.046875
531,1,-2,2048,0.0,0.0078125
532,1,1,1024,0.0,0.0
533,2,-1,2048,0.0,0.015625
534,4,2,1024,0.0,0.015625
535,1,2,1024,0.0,0.00390625
536,2,-2,2048,0.3069852941176471,0.015625
537,1,2,4096,0.0,0.015625
538,4,-2,2048,0.0,0.03125
539,1,-1,1024,0.0,0.00390625
540,4,-1,4096,0.0,0.0625
541,1,2,4096,0.0,0.015625
542,1,1,1024,0.0,0.00390625
543,1,2,4096,0.0,0.015625
544,8,1,4096,0.0,0.078125
545,1,2,2048,0.0,0.0078125
546,2,2,1024,0.0,0.0078125
547,4,2,2048,0.0,0.03125
548,4,-1,2048,0.0,0.03125
549,4,-1,1024,0.0,0.01171875
550,8,2,1024,0.0,0.03125
551,2,2,1024,0.0,0.0078125
552,8,2,1024,0.0,0.03125
553,2,1,4096,0.0,0.03125
554,8,2,1024,0.0,0.03125
555,4,1,2048,0.0,0.03125
556,4,1,2048,0.0,0.03125
557,8,-2,1024,0.0,0.02734375
558,8,1,4096,0.4105392156862745,0.125
559,8,1,4096,0.0,0.109375
560,4,2,2048,0.0,0.03125
561,1,2,4096,0.0,0.015625
562,2,-1,1024,0.0,0.0078125
563,1,-1,4096,0.0,0.015625
564,8,2,4096,0.0,0.125
565,1,2,2048,0.0,0.0078125
566,1,-2,4096,0.0,0.0
567,1,-1,4096,0.0,0.015625
568,4,2,2048,1.0,0.03125
569,4,-2,1024,0.0,0.015625
570,8,2,1024,0.0,0.02734375
571,2,-2,1024,0.0,0.0078125
572,2,-2,1024,0.0,0.0078125
573,1,2,4096,0.75,0.015625
574,1,1,1024,0.0,0.00390625
575,2,1,4096,0.0,0.03125
576,8,2,1024,0.0,0.03125
577,4,-1,2048,0.0,0.03125
578,8,1,2048,0.0,0.0546875
579,1,1,1024,0.0,0.00390625
580,1,1,1024,0.0,0.00390625
581,8,-1,1024,0.0,0.03125
582,1,1,1024,0.0,0.00390625
583,1,-1,4096,0.0,0.015625
584,2,1,2048,0.0,0.015625
585,8,2,4096,0.0,0.125
586,4,-1,4096,0.0,0.0625
587,1,1,2048,0.0,0.0078125
588,8,2,4096,0.0,0.09375
589,8,2,1024,0.0,0.03125
590,8,2,2048,0.056372549019607844,0.0625
591,8,1,2048,0.0,0.0546875
592,1,-1,2048,0.0,0.0078125
593,8,2,4096,0.0,0.125
594,2,1,4096,0.0,0.03125
595,8,-2,2048,0.051470588235294115,0.0625
596,4,-1,1024,0.0,0.015625
597,8,-1,2048,0.0,0.0625
598,4,2,4096,0.0,0.0625
599,4,-2,4096,0.0,0.0625
600,4,1,4096,0.8952205882352942,0.0625
601,8,1,1024,0.0,0.02734375
602,4,-2,1024,0.0,0.015625
603,1,1,2048,0.0,0.0078125
604,8,2,2048,0.0,0.0546875
605,4,1,2048,0.0,0.03125
606,2,1,4096,0.0,0.03125
607,4,-1,2048,0.0,0.03125
608,8,-2,2048,0.0,0.0625
609,8,-2,4096,0.0,0.125
610,8,-1,2048,0.0,0.0546875
611,2,1,2048,0.0,0.015625
612,8,-2,1024,0.0,0.03125
613,2,2,2048,0.0,0.015625
614,4,1,2048,0.0,0.03125
615,4,-1,1024,0.0,0.015625
616,1,2,1024,0.0,0.00390625
617,2,-2,4096,0.0,0.03125
618,1,2,1024,0.0,0.00390625
619,1,-1,1024,0.0,0.00390625
620,2,-1,1024,0.0,0.0078125
621,2,-1,1024,0.0,0.0078125
622,1,2,2048,0.0,0.0078125
623,2,-1,2048,0.0,0.015625
624,4,2,2048,0.0,0.03125
625,1,-1,2048,0.0,0.0078125
626,2,-1,2048,0.0,0.015625
627,2,1,4096,0.0,0.03125
628,4,1,1024,0.0,0.015625
629,2,-1,4096,0.0,0.03125
630,4,-2,1024,0.0,0.015625
631,2,-1,4096,0.0,0.03125
632,2,1,2048,0.0,0.015625
633,2,-2,2048,0.0,0.015625
634,1,-2,1024,0.0,0.00390625
635,4,2,2048,0.0,0.03125
636,1,-2,2048,0.0,0.0078125
637,2,-1,4096,0.0,0.03125
638,8,2,1024,0.0,0.03125
639,8,-1,2048,0.0,0.0625
640,4,-1,4096,0.0,0.0625
641,8,-2,4096,0.84375,0.125
642,8,2,4096,0.6458333333333334,0.109375
643,2,1,2048,0.0,0.015625
644,8,2,4096,0.0,0.125
645,2,2,1024,0.0,0.0078125
646,2,-1,4096,0.0,0.03125
647,4,-2,2048,0.0,0.03125
648,8,-1,2048,0.0,0.0625
649,8,-2,1024,0.0,0.03125
650,2,1,2048,0.0,0.015625
651,4,-2,1024,0.0,0.015625
652,1,2,4096,0.0,0.015625
653,8,1,1024,0.0,0.02734375
654,4,-1,2048,0.0,0.03125
655,4,2,1024,0.0,0.015625
656,8,2,2048,0.0,0.0625
657,4,-1,2048,0.0,0.03125
658,1,-2,1024,0.0,0.00390625
659,2,-1,4096,0.0,0.03125
660,1,1,4096,0.0,0.015625
661,4,2,2048,0.0,0.03125
662,1,-1,1024,0.0,0.00390625
663,1,1,4096,0.0,0.015625
664,4,-1,4096,0.0,0.0625
665,4,-2,2048,0.0,0.03125
666,4,-1,2048,0.758578431372549,0.03125
667,8,-2,1024,0.0,0.03125
668,8,-1,2048,0.30392156862745096,0.0625
669,1,-1,1024,0.0,0.00390625
670,8,-1,2048,0.43075980392156865,0.0625
671,4,2,4096,0.0,0.0625
672,4,-1,2048,0.0,0.03125
673,1,1,2048,0.0,0.0078125
674,4,1,4096,0.0,0.0625
675,4,1,4096,0.0,0.046875
676,4,-1,1024,0.0,0.015625
677,1,2,1024,0.0,0.00390625
678,4,-2,1024,0.0,0.015625
679,8,-1,4096,0.5006127450980392,0.09375
680,4,2,2048,0.0,0.03125
681,1,-1,4096,0.0,0.015625
682,8,1,2048,0.0,0.0625
683,8,-2,4096,0.0,0.125
684,1,1,4096,0.0,0.015625
685,8,2,1024,0.0,0.03125
686,2,1,4096,0.0,0.03125
687,4,1,4096,0.0,0.0625
688,2,2,1024,0.0,0.0078125
689,8,-1,2048,0.0,0.0625
690,8,-1,4096,0.0,0.125
691,8,-2,4096,0.0,0.125
692,8,1,2048,0.0,0.0625
693,8,1,2048,0.0,0.0625
694,1,2,1024,0.0,0.00390625
695,2,1,2048,0.0,0.015625
696,4,-2,2048,0.0,0.03125
697,4,1,2048,0.0,0.03125
698,1,2,1024,0.0,0.00390625
699,1,-2,4096,0.0,0.015625
700,4,-1,2048,0.0,0.03125
701,4,2,1024,0.6274509803921569,0.015625
702,1,-1,2048,0.0,0.0078125
703,1,2,2048,0.0,0.0078125
704,1,1,1024,0.0,0.00390625
705,4,1,2048,0.0,0.03125
706,1,1,4096,0.0,0.015625
707,4,1,4096,0.0,0.0625
708,2,2,1024,0.0,0.0078125
709,2,2,2048,0.0,0.015625
710,4,-1,2048,0.0,0.03125
711,4,2,4096,0.0,0.0625
712,4,1,4096,1.0,0.0625
713,8,1,2048,0.0,0.0546875
714,8,-1,1024,0.0,0.03125
715,8,-1,2048,0.0,0.0625
716,4,1,1024,0.0,0.015625
717,2,-1,4096,0.0,0.03125
718,1,-1,4096,0.0,0.015625
719,4,2,4096,0.0,0.046875
720,1,-1,2048,0.0,0.0078125
721,8,1,4096,1.0,0.09375
722,8,-2,2048,0.0,0.0625
723,1,-2,2048,0.0,0.0078125
724,8,2,4096,0.0,0.109375
725,1,-2,1024,0.0,0.00390625
726,4,2,4096,0.0,0.0625
727,1,2,4096,0.0,0.015625
728,2,-1,2048,0.0,0.015625
729,4,2,1024,0.4019607843137255,0.015625
730,4,-1,4096,0.7787990196078431,0.0625
731,2,2,1024,0.0,0.0078125
732,8,-2,4096,0.0,0.125
733,8,-1,4096,0.0,0.109375
