arch,defense,budget,mean_asr_undef,mean_asr_def,mean_delta,ci_lo_95,ci_hi_95,n_boot,source
resnet20,checksum,20,0.0015,0.0001,0.0014,0.0013,0.0014,10000,pbs_sweep_b20_pbs_20260813T023233.csv
resnet20,clip,20,0.0015,0.001,0.0005,0.0004,0.0005,10000,pbs_sweep_b20_pbs_20260813T023233.csv
smallcnn,checksum,20,0.0027,0.0002,0.0025,0.0024,0.0026,10000,pbs_sweep_b20_pbs_20260813T024558.csv
smallcnn,clip,20,0.0027,0.0018,0.0008,0.0007,0.001,10000,pbs_sweep_b20_pbs_20260813T024558.csv
resnet20,checksum,20,0.0015,0.0001,0.0014,0.0013,0.0014,10000,pbs_sweep_b20_pbs_20260813T024558.csv
resnet20,clip,20,0.0015,0.001,0.0005,0.0004,0.0005,10000,pbs_sweep_b20_pbs_20260813T024558.csv
smallcnn,checksum,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T022442.csv
smallcnn,clip,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T022442.csv
resnet20,checksum,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T022442.csv
resnet20,clip,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T022442.csv
smallcnn,checksum,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T022543.csv
smallcnn,clip,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T022543.csv
resnet20,checksum,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T022543.csv
resnet20,clip,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T022543.csv
smallcnn,checksum,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T023153.csv
smallcnn,clip,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T023153.csv
resnet20,checksum,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T023153.csv
resnet20,clip,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T023153.csv
smallcnn,checksum,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T023316.csv
smallcnn,clip,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T023316.csv
resnet20,checksum,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T023316.csv
resnet20,clip,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T023316.csv
smallcnn,checksum,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T024607.csv
smallcnn,clip,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T024607.csv
resnet20,checksum,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T024607.csv
resnet20,clip,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_random_20260813T024607.csv
smallcnn,checksum,5,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b5_pbs_20260813T022035.csv
smallcnn,clip,5,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b5_pbs_20260813T022035.csv
