arch,seed,attack,defense,clip_sigma,checksum_cov,top_k,sub_batch,step,asr,accuracy,blocked,clipped
resnet20,2,pbs,clip,1.0,0.5,8,32,12,0.000587,0.91946,0,0
resnet20,2,pbs,clip,1.0,0.5,8,32,13,0.000661,0.919392,0,0
resnet20,2,pbs,clip,1.0,0.5,8,32,14,0.000734,0.919325,0,0
resnet20,2,pbs,clip,1.0,0.5,8,32,15,0.000807,0.919257,0,0
resnet20,2,pbs,clip,1.0,0.5,8,32,16,0.000881,0.91919,0,0
resnet20,2,pbs,clip,1.0,0.5,8,32,17,0.000881,0.91919,0,1
resnet20,2,pbs,clip,1.0,0.5,8,32,18,0.000881,0.91919,0,1
resnet20,2,pbs,clip,1.0,0.5,8,32,19,0.000954,0.919122,0,0
resnet20,2,pbs,clip,1.0,0.5,8,32,20,0.000954,0.919122,0,1
resnet20,3,pbs,clip,1.0,0.5,8,32,1,7.3e-05,0.919932,0,0
resnet20,3,pbs,clip,1.0,0.5,8,32,2,7.3e-05,0.919932,0,1
resnet20,3,pbs,clip,1.0,0.5,8,32,3,0.000147,0.919865,0,0
resnet20,3,pbs,clip,1.0,0.5,8,32,4,0.00022,0.919797,0,0
resnet20,3,pbs,clip,1.0,0.5,8,32,5,0.000294,0.91973,0,0
resnet20,3,pbs,clip,1.0,0.5,8,32,6,0.000367,0.919662,0,0
resnet20,3,pbs,clip,1.0,0.5,8,32,7,0.00044,0.919595,0,0
resnet20,3,pbs,clip,1.0,0.5,8,32,8,0.000514,0.919527,0,0
resnet20,3,pbs,clip,1.0,0.5,8,32,9,0.000587,0.91946,0,0
resnet20,3,pbs,clip,1.0,0.5,8,32,10,0.000661,0.919392,0,0
resnet20,3,pbs,clip,1.0,0.5,8,32,11,0.000734,0.919325,0,0
resnet20,3,pbs,clip,1.0,0.5,8,32,12,0.000807,0.919257,0,0
resnet20,3,pbs,clip,1.0,0.5,8,32,13,0.000807,0.919257,0,1
resnet20,3,pbs,clip,1.0,0.5,8,32,14,0.000881,0.91919,0,0
resnet20,3,pbs,clip,1.0,0.5,8,32,15,0.000954,0.919122,0,0
resnet20,3,pbs,clip,1.0,0.5,8,32,16,0.001028,0.919055,0,0
resnet20,3,pbs,clip,1.0,0.5,8,32,17,0.001101,0.918987,0,0
resnet20,3,pbs,clip,1.0,0.5,8,32,18,0.001174,0.91892,0,0
resnet20,3,pbs,clip,1.0,0.5,8,32,19,0.001174,0.91892,0,1
resnet20,3,pbs,clip,1.0,0.5,8,32,20,0.001248,0.918852,0,0
resnet20,4,pbs,clip,1.0,0.5,8,32,1,7.3e-05,0.919932,0,0
resnet20,4,pbs,clip,1.0,0.5,8,32,2,0.000147,0.919865,0,0
resnet20,4,pbs,clip,1.0,0.5,8,32,3,0.000147,0.919865,0,1
resnet20,4,pbs,clip,1.0,0.5,8,32,4,0.000147,0.919865,0,1
resnet20,4,pbs,clip,1.0,0.5,8,32,5,0.00022,0.919797,0,0
resnet20,4,pbs,clip,1.0,0.5,8,32,6,0.000294,0.91973,0,0
resnet20,4,pbs,clip,1.0,0.5,8,32,7,0.000367,0.919662,0,0
resnet20,4,pbs,clip,1.0,0.5,8,32,8,0.00044,0.919595,0,0
resnet20,4,pbs,clip,1.0,0.5,8,32,9,0.00044,0.919595,0,1
resnet20,4,pbs,clip,1.0,0.5,8,32,10,0.00044,0.919595,0,1
resnet20,4,pbs,clip,1.0,0.5,8,32,11,0.00044,0.919595,0,1
resnet20,4,pbs,clip,1.0,0.5,8,32,12,0.000514,0.919527,0,0
resnet20,4,pbs,clip,1.0,0.5,8,32,13,0.000514,0.919527,0,1
resnet20,4,pbs,clip,1.0,0.5,8,32,14,0.000587,0.91946,0,0
resnet20,4,pbs,clip,1.0,0.5,8,32,15,0.000661,0.919392,0,0
resnet20,4,pbs,clip,1.0,0.5,8,32,16,0.000734,0.919325,0,0
resnet20,4,pbs,clip,1.0,0.5,8,32,17,0.000807,0.919257,0,0
resnet20,4,pbs,clip,1.0,0.5,8,32,18,0.000881,0.91919,0,0
resnet20,4,pbs,clip,1.0,0.5,8,32,19,0.000954,0.919122,0,0
resnet20,4,pbs,clip,1.0,0.5,8,32,20,0.001028,0.919055,0,0
resnet20,5,pbs,clip,1.0,0.5,8,32,1,0.0,0.92,0,1
resnet20,5,pbs,clip,1.0,0.5,8,32,2,0.0,0.92,0,1
resnet20,5,pbs,clip,1.0,0.5,8,32,3,7.3e-05,0.919932,0,0
resnet20,5,pbs,clip,1.0,0.5,8,32,4,0.000147,0.919865,0,0
resnet20,5,pbs,clip,1.0,0.5,8,32,5,0.00022,0.919797,0,0
resnet20,5,pbs,clip,1.0,0.5,8,32,6,0.000294,0.91973,0,0
resnet20,5,pbs,clip,1.0,0.5,8,32,7,0.000367,0.919662,0,0
resnet20,5,pbs,clip,1.0,0.5,8,32,8,0.00044,0.919595,0,0
resnet20,5,pbs,clip,1.0,0.5,8,32,9,0.000514,0.919527,0,0
resnet20,5,pbs,clip,1.0,0.5,8,32,10,0.000514,0.919527,0,1
resnet20,5,pbs,clip,1.0,0.5,8,32,11,0.000514,0.919527,0,1
resnet20,5,pbs,clip,1.0,0.5,8,32,12,0.000514,0.919527,0,1
resnet20,5,pbs,clip,1.0,0.5,8,32,13,0.000587,0.91946,0,0
resnet20,5,pbs,clip,1.0,0.5,8,32,14,0.000661,0.919392,0,0
resnet20,5,pbs,clip,1.0,0.5,8,32,15,0.000734,0.919325,0,0
resnet20,5,pbs,clip,1.0,0.5,8,32,16,0.000807,0.919257,0,0
resnet20,5,pbs,clip,1.0,0.5,8,32,17,0.000881,0.91919,0,0
resnet20,5,pbs,clip,1.0,0.5,8,32,18,0.000954,0.919122,0,0
resnet20,5,pbs,clip,1.0,0.5,8,32,19,0.001028,0.919055,0,0
resnet20,5,pbs,clip,1.0,0.5,8,32,20,0.001101,0.918987,0,0
resnet20,6,pbs,clip,1.0,0.5,8,32,1,0.0,0.92,0,1
resnet20,6,pbs,clip,1.0,0.5,8,32,2,0.0,0.92,0,1
resnet20,6,pbs,clip,1.0,0.5,8,32,3,7.3e-05,0.919932,0,0
resnet20,6,pbs,clip,1.0,0.5,8,32,4,7.3e-05,0.919932,0,1
resnet20,6,pbs,clip,1.0,0.5,8,32,5,0.000147,0.919865,0,0
resnet20,6,pbs,clip,1.0,0.5,8,32,6,0.00022,0.919797,0,0
resnet20,6,pbs,clip,1.0,0.5,8,32,7,0.000294,0.91973,0,0
resnet20,6,pbs,clip,1.0,0.5,8,32,8,0.000294,0.91973,0,1
resnet20,6,pbs,clip,1.0,0.5,8,32,9,0.000294,0.91973,0,1
resnet20,6,pbs,clip,1.0,0.5,8,32,10,0.000367,0.919662,0,0
resnet20,6,pbs,clip,1.0,0.5,8,32,11,0.00044,0.919595,0,0
resnet20,6,pbs,clip,1.0,0.5,8,32,12,0.000514,0.919527,0,0
resnet20,6,pbs,clip,1.0,0.5,8,32,13,0.000587,0.91946,0,0
resnet20,6,pbs,clip,1.0,0.5,8,32,14,0.000587,0.91946,0,1
resnet20,6,pbs,clip,1.0,0.5,8,32,15,0.000587,0.91946,0,1
resnet20,6,pbs,clip,1.0,0.5,8,32,16,0.000587,0.91946,0,1
resnet20,6,pbs,clip,1.0,0.5,8,32,17,0.000661,0.919392,0,0
resnet20,6,pbs,clip,1.0,0.5,8,32,18,0.000734,0.919325,0,0
resnet20,6,pbs,clip,1.0,0.5,8,32,19,0.000807,0.919257,0,0
resnet20,6,pbs,clip,1.0,0.5,8,32,20,0.000881,0.91919,0,0
resnet20,7,pbs,clip,1.0,0.5,8,32,1,7.3e-05,0.919932,0,0
resnet20,7,pbs,clip,1.0,0.5,8,32,2,0.000147,0.919865,0,0
resnet20,7,pbs,clip,1.0,0.5,8,32,3,0.00022,0.919797,0,0
resnet20,7,pbs,clip,1.0,0.5,8,32,4,0.000294,0.91973,0,0
resnet20,7,pbs,clip,1.0,0.5,8,32,5,0.000367,0.919662,0,0
resnet20,7,pbs,clip,1.0,0.5,8,32,6,0.00044,0.919595,0,0
resnet20,7,pbs,clip,1.0,0.5,8,32,7,0.000514,0.919527,0,0
resnet20,7,pbs,clip,1.0,0.5,8,32,8,0.000514,0.919527,0,1
resnet20,7,pbs,clip,1.0,0.5,8,32,9,0.000587,0.91946,0,0
resnet20,7,pbs,clip,1.0,0.5,8,32,10,0.000661,0.919392,0,0
resnet20,7,pbs,clip,1.0,0.5,8,32,11,0.000734,0.919325,0,0
resnet20,7,pbs,clip,1.0,0.5,8,32,12,0.000807,0.919257,0,0
resnet20,7,pbs,clip,1.0,0.5,8,32,13,0.000807,0.919257,0,1
resnet20,7,pbs,clip,1.0,0.5,8,32,14,0.000807,0.919257,0,1
resnet20,7,pbs,clip,1.0,0.5,8,32,15,0.000807,0.919257,0,1
resnet20,7,pbs,clip,1.0,0.5,8,32,16,0.000881,0.91919,0,0
resnet20,7,pbs,clip,1.0,0.5,8,32,17,0.000954,0.919122,0,0
resnet20,7,pbs,clip,1.0,0.5,8,32,18,0.000954,0.919122,0,1
resnet20,7,pbs,clip,1.0,0.5,8,32,19,0.000954,0.919122,0,1
resnet20,7,pbs,clip,1.0,0.5,8,32,20,0.001028,0.919055,0,0
resnet20,8,pbs,clip,1.0,0.5,8,32,1,0.0,0.92,0,1
resnet20,8,pbs,clip,1.0,0.5,8,32,2,7.3e-05,0.919932,0,0
resnet20,8,pbs,clip,1.0,0.5,8,32,3,7.3e-05,0.919932,0,1
resnet20,8,pbs,clip,1.0,0.5,8,32,4,0.000147,0.919865,0,0
resnet20,8,pbs,clip,1.0,0.5,8,32,5,0.00022,0.919797,0,0
resnet20,8,pbs,clip,1.0,0.5,8,32,6,0.000294,0.91973,0,0
resnet20,8,pbs,clip,1.0,0.5,8,32,7,0.000367,0.919662,0,0
resnet20,8,pbs,clip,1.0,0.5,8,32,8,0.000367,0.919662,0,1
resnet20,8,pbs,clip,1.0,0.5,8,32,9,0.000367,0.919662,0,1
resnet20,8,pbs,clip,1.0,0.5,8,32,10,0.000367,0.919662,0,1
resnet20,8,pbs,clip,1.0,0.5,8,32,11,0.00044,0.919595,0,0
resnet20,8,pbs,clip,1.0,0.5,8,32,12,0.000514,0.919527,0,0
resnet20,8,pbs,clip,1.0,0.5,8,32,13,0.000514,0.919527,0,1
resnet20,8,pbs,clip,1.0,0.5,8,32,14,0.000587,0.91946,0,0
resnet20,8,pbs,clip,1.0,0.5,8,32,15,0.000587,0.91946,0,1
resnet20,8,pbs,clip,1.0,0.5,8,32,16,0.000661,0.919392,0,0
resnet20,8,pbs,clip,1.0,0.5,8,32,17,0.000734,0.919325,0,0
resnet20,8,pbs,clip,1.0,0.5,8,32,18,0.000807,0.919257,0,0
resnet20,8,pbs,clip,1.0,0.5,8,32,19,0.000881,0.91919,0,0
resnet20,8,pbs,clip,1.0,0.5,8,32,20,0.000954,0.919122,0,0
resnet20,9,pbs,clip,1.0,0.5,8,32,1,7.3e-05,0.919932,0,0
resnet20,9,pbs,clip,1.0,0.5,8,32,2,0.000147,0.919865,0,0
resnet20,9,pbs,clip,1.0,0.5,8,32,3,0.00022,0.919797,0,0
resnet20,9,pbs,clip,1.0,0.5,8,32,4,0.00022,0.919797,0,1
resnet20,9,pbs,clip,1.0,0.5,8,32,5,0.00022,0.919797,0,1
resnet20,9,pbs,clip,1.0,0.5,8,32,6,0.00022,0.919797,0,1
resnet20,9,pbs,clip,1.0,0.5,8,32,7,0.000294,0.91973,0,0
resnet20,9,pbs,clip,1.0,0.5,8,32,8,0.000367,0.919662,0,0
resnet20,9,pbs,clip,1.0,0.5,8,32,9,0.000367,0.919662,0,1
resnet20,9,pbs,clip,1.0,0.5,8,32,10,0.000367,0.919662,0,1
resnet20,9,pbs,clip,1.0,0.5,8,32,11,0.000367,0.919662,0,1
resnet20,9,pbs,clip,1.0,0.5,8,32,12,0.00044,0.919595,0,0
resnet20,9,pbs,clip,1.0,0.5,8,32,13,0.000514,0.919527,0,0
resnet20,9,pbs,clip,1.0,0.5,8,32,14,0.000587,0.91946,0,0
resnet20,9,pbs,clip,1.0,0.5,8,32,15,0.000587,0.91946,0,1
resnet20,9,pbs,clip,1.0,0.5,8,32,16,0.000661,0.919392,0,0
resnet20,9,pbs,clip,1.0,0.5,8,32,17,0.000661,0.919392,0,1
resnet20,9,pbs,clip,1.0,0.5,8,32,18,0.000661,0.919392,0,1
resnet20,9,pbs,clip,1.0,0.5,8,32,19,0.000734,0.919325,0,0
resnet20,9,pbs,clip,1.0,0.5,8,32,20,0.000807,0.919257,0,0
